Row Type,Parent Product Class,Class,Name,Product Category,Product Subcategory,Qty,Weight,Total Sales,COGS
Product,Unknown Class,Alcohol,Akashi Eigashima,Drinks,Japanese Whisky,4.00,,44.00,0.00
Product,Unknown Class,Alcohol,Akashi Single Malt,Drinks,Japanese Whisky,1.00,,22.00,0.00
Product,Unknown Class,Alcohol,Akashi Ume,Drinks,Japanese Whisky,9.00,,81.00,0.00
Product,Unknown Class,Alcohol,CUSTOM Flight,Drinks,Flights,0.00,,0.00,0.00
Product,Unknown Class,Alcohol,Chenin Blanc BTG,Drinks,Wine,10.00,,110.00,0.00
Product,Unknown Class,Alcohol,Chenin Blanc Bottle,Drinks,Wine,0.00,,0.00,0.00
Product,Unknown Class,Alcohol,Cherry Limeade,Drinks,Cocktails,7.00,,56.00,0.00
Product,Unknown Class,Alcohol,Coconut Mojito,Drinks,Cocktails,23.00,,175.00,0.00
Product,Unknown Class,Alcohol,Coors,Special,BACK TO SCHOOL,270.00,,270.00,0.00
Product,Unknown Class,Alcohol,Coors Light,Drinks,Beer,25.00,,75.00,0.00
Product,Unknown Class,Alcohol,Cup - Daruma,Drinks,Sake,16.00,,192.00,0.00
Product,Unknown Class,Alcohol,Cup - Kirinzan,Drinks,Sake,7.00,,84.00,0.00
Product,Unknown Class,Alcohol,Cup - Old Mountain,Drinks,Sake,16.00,,192.00,0.00
Product,Unknown Class,Alcohol,Cup - Pure Grain,Drinks,Sake,46.00,,552.00,0.00
Product,Unknown Class,Alcohol,"Cup Sake (""Otokoyama"")",Drinks,Sake,16.00,,192.00,0.00
Product,Unknown Class,Alcohol,Demon Slayer (300ml),Drinks,Sake,7.00,,350.00,0.00
Product,Unknown Class,Alcohol,Dewazakura (Sparkling) BTG,Drinks,Sake,12.00,,131.00,0.00
Product,Unknown Class,Alcohol,Dewazakura Sparkling,Drinks,Sake,5.00,,160.00,0.00
Product,Unknown Class,Alcohol,Drink of the Day,Special,Drinks,15.00,,150.00,0.00
Product,Unknown Class,Alcohol,Echigo Sekkobai (300ml),Drinks,Sake,4.00,,148.00,0.00
Product,Unknown Class,Alcohol,Echigo Sekkobai (720ml),Drinks,Sake,1.00,,75.00,0.00
Product,Unknown Class,Alcohol,Echigo Sekkobai BTG,Drinks,Sake,19.00,,190.00,0.00
Product,Unknown Class,Alcohol,Electric Jellyfish,Drinks,Beer,1.00,,7.00,0.00
Product,Unknown Class,Alcohol,Electric Jellyfish,Drinks,Beer,68.00,,612.00,0.00
Product,Unknown Class,Alcohol,Favorites Flight,Drinks,Flights,2.00,,82.00,0.00
Product,Unknown Class,Alcohol,Fernet Branca,Drinks,Open Liquor,3.00,,15.00,0.00
Product,Unknown Class,Alcohol,Finca Costanillas BTG,Drinks,Wine,38.00,,424.00,0.00
Product,Unknown Class,Alcohol,Finca Costanillas BTL,Drinks,Wine,0.00,,0.00,0.00
Product,Unknown Class,Alcohol,Haku Kandy,Special,Drinks,49.00,,490.00,0.00
Product,Unknown Class,Alcohol,Haku Vodka,Drinks,Open Liquor,2.00,,5.00,0.00
Product,Unknown Class,Alcohol,Hitachino (Dai Dai),Drinks,Beer,21.00,,157.50,0.00
Product,Unknown Class,Alcohol,Hitachino (White Ale),Drinks,Beer,131.00,,932.00,0.00
Product,Unknown Class,Alcohol,Hitachino (Yuzu Lager),Drinks,Beer,72.00,,536.00,0.00
Product,Unknown Class,Alcohol,Jell-O Shot,Drinks,Cocktails,2.00,,4.00,0.00
Product,Unknown Class,Alcohol,Jungle Juice,Special,BACK TO SCHOOL,56.00,,116.00,0.00
Product,Unknown Class,Alcohol,Kappa Kyuri,Drinks,Cocktails,11.00,,88.00,0.00
Product,Unknown Class,Alcohol,Kirin,Drinks,Beer,269.00,,1608.00,0.00
Product,Unknown Class,Alcohol,Kirin Bottle,Drinks,Beer,2.00,,12.00,0.00
Product,Unknown Class,Alcohol,Lemon Drop Shot,Drinks,Cocktails,4.00,,8.00,0.00
Product,Unknown Class,Alcohol,Lone Star,Online Drinks,Beer,6.00,,18.00,0.00
Product,Unknown Class,Alcohol,Lone Star,Special,BACK TO SCHOOL,384.00,,384.00,0.00
Product,Unknown Class,Alcohol,Lone Star,Drinks,Beer,50.00,,150.00,0.00
Product,Unknown Class,Alcohol,Long Meadow Ranch BTG,Drinks,Wine,48.00,,466.00,0.00
Product,Unknown Class,Alcohol,Long Meadow Ranch BTL,Drinks,Wine,24.00,,120.00,0.00
Product,Unknown Class,Alcohol,Margarita,Drinks,Cocktails,43.00,,135.00,0.00
